infobox_type	proposed_category	count	was_included	include_in_future
high_court	other	781	0	0
anthem	other	777	0	0
criminal_organization	person	774	1	0
given_name_revised	other	771	0	0
rugby_league_club	other	770	1	0
poker_player	other	769	1	0
programming_language	concepts	768	0	0
motorsport_championship	other	768	1	0
comic_strip	artifact	767	1	0
bus_line	other	764	0	0
darts_player	person	763	0	0
professional_wrestling_event	other	762	0	0
theatre	other	760	0	0
snooker_player	person	743	1	0
presenter	person	737	1	0
rugby_union_biography	person	734	1	0
canal	place	731	1	0
tournament	other	725	0	0
attraction	other	714	1	0
orchestra	other	713	0	0
individual_darts_tournament	other	708	0	0
international_ice_hockey_competition	other	707	0	0
file_format	concepts	704	0	0
fencer	person	701	1	0
temple	place	701	0	0
champ_car_driver	other	690	1	0
u.s._congressional_district	other	688	0	0
nfl_player	person	682	1	0
media_franchise	other	681	1	0
motor_race	other	680	0	0
russian_rural_locality	other	677	0	0
wine_region	place	676	0	0
vg	other	663	0	0
artefact	artifact	661	1	0
observatory	other	656	1	0
terrorist_attack	event	656	1	0
news_event	event	654	1	0
gaa_championship	other	649	0	0
cycling_championship	other	648	0	0
netball_biography	person	645	1	0
weather_event/tornado	event	641	0	0
sumo_wrestler	person	638	1	0
cfl_player	person	637	1	0
mlb_player	person	632	0	0
casino	business	631	1	1
drink	other	629	1	0
boxer_(amateur)	person	628	1	0
new_zealand_suburb	other	625	0	0
weather_event/jma	event	623	0	0
governor	person	619	1	0
israel_village	place	618	1	0
fashion_designer	other	613	1	0
indian_politician	person	612	1	0
poem	other	611	0	0
military_memorial	other	606	1	0
spaceflight/dock	other	601	0	0
graphic_novel	artifact	601	0	0
firearm_cartridge	artifact	600	0	0
wrestling_team	other	600	0	0
us_university_ranking	place	599	1	0
international_basketball_competition	other	599	0	0
gaelic_athletic_association_player	person	595	1	0
ethnonym	other	592	1	0
french_constituency	pol_mil_organization	590	0	0
cricket_club_season	other	589	0	0
writing_system	concepts	585	0	0
belgium_municipality	place	583	0	0
command_structure	other	579	0	0
author	person	578	1	0
spaceflight/ip	other	574	0	0
rugby_football_league_season	other	569	0	0
law_firm	business	566	0	0
oil_field	other	566	0	0
ipa	other	565	0	0
greece_place	other	561	0	0
mayor	person	561	1	0
le_mans_driver	other	559	1	1
nycs	other	559	0	0
rocket/payload	artifact	558	0	0
subdivision_type	other	556	1	0
rugby_league_football_competition	other	556	0	0
volleyball_club	other	555	0	0
mountain_range	place	555	1	0
indian_political_party	pol_mil_organization	554	1	0
russian_urban-type_settlement	place	552	0	0
sport	other	548	0	0
president	person	545	1	1
college_basketball_tournament	place	545	0	0
state_highway_system	other	544	0	0
college	place	543	0	0
brain	other	542	0	0
nonhuman_protein	other	541	0	0
grapheme	other	535	0	0
classical_composer	person	535	1	0
skating_event	other	528	0	0
hromada	other	527	0	0
rally	other	526	0	0
settlement/wikidata	place	523	0	0
office_holder	other	522	1	1
pandemic	event	521	0	0
road/shieldmain/usa	place	521	1	0
xc_championships	other	521	0	0
noble_house	person	520	1	0
comet	other	516	0	0
coin	artifact	516	0	0
international_baseball_tournament	other	513	0	0
military_rank	other	511	0	0
sport_overview	other	510	0	0
ambassador	person	510	1	0
artwork/wikidata	artifact	507	0	0
solar_eclipse	other	504	0	0
india_university_ranking	place	501	0	0
lacrosse_player	person	501	0	0
windmill	other	500	0	0
grape_variety	other	499	0	0
climber	person	498	1	0
bishop_styles	person	495	1	0
fila_wrestling_event	other	495	0	0
tennis_grand_slam_events	other	494	0	0
currency	other	493	0	0
tennis_tournament_year	other	491	0	0
archaeological_culture	place	490	1	0
kibbutz	other	489	0	0
national_volleyball_team	other	489	0	0
rugby_tournament	other	486	0	0
region_symbols	other	484	1	0
card_game	other	481	1	0
document	other	477	1	0
summit_meeting	event	474	0	0
tour_rugby	other	471	0	0
latter_day_saint_biography	person	468	1	0
united_states_federal_proposed_legislation	other	465	0	0
hindu_leader	person	464	1	0
mapframe	other	462	1	1
ncaa_soccer_conference_tournament	other	462	0	0
identity_document	other	456	0	0
squash_tournament	other	456	0	0
interventions	other	455	1	0
non-profit	other	455	1	1
brewery	business	454	0	0
cardinalstyles	other	451	1	0
