infobox_type	proposed_category	count	was_included	include_in_future
tribe	pol_mil_organization	74	0	0
nbl_season	other	73	0	0
broadcasting_network	other	73	0	0
festival	other	73	0	0
continental_football	other	73	0	0
twenty20_club_season	other	73	0	0
song_contest_national_year/year	other	73	0	0
itf_women's_circuit_tournament	other	72	0	0
u.s._presidential_document	other	72	1	0
tree	other	71	0	0
attraction	other	71	0	0
vafa_season	other	71	0	0
hurricane_season	event	70	0	0
tractor	other	69	0	0
high_court	other	69	0	0
casino	business	69	0	0
political_youth_organization	pol_mil_organization	69	1	0
bus_company	business	69	0	0
motocross_rider	other	69	0	0
fashion_designer	other	68	0	0
first_nation	pol_mil_organization	68	0	0
beverage	other	68	0	0
intangible_heritage	other	68	0	0
american_championship_car_race_report	other	68	0	0
french_commune	place	68	0	0
glacier	place	67	0	0
cpu	other	67	0	0
military_rank	other	67	0	0
european_rugby_cup_season	other	67	0	0
filmography_list	other	66	0	0
national_baseball_team	other	66	0	0
writing_system	concepts	65	0	0
hereditary_title	other	65	1	0
college_football_game	place	65	0	0
curling_event	other	65	0	0
railway_depot	other	64	0	0
given_name_revised	other	64	0	0
comic_strip	artifact	64	0	0
mythical_creature	other	63	0	0
trail	other	63	0	0
mosque	place	63	0	0
united_states_federal_proposed_legislation	other	63	0	0
water_polo_biography	person	62	0	0
surfer	person	62	1	0
minister	person	62	1	0
horse_breed	other	62	0	0
hindu_leader	person	61	1	0
gaa_tournament	other	61	0	0
maryland_state_legislature_district	pol_mil_organization	61	0	0
engineering_career	other	61	1	0
nascar_team	other	61	0	0
ncaa_baseball_tournament	other	61	0	0
engine	other	60	0	0
lacrosse_team_season	other	60	0	0
spy	person	60	1	1
computer	artifact	60	0	0
american_football_team	other	60	0	0
fia_formula_3_race_report	other	60	0	0
novel	artifact	60	0	0
terrorist_attack	event	59	0	0
malaysia_electoral_district	other	59	0	0
mapframe	other	59	1	0
director	other	58	0	0
ncaa_ice_hockey_conference_tournament	other	58	0	0
poet	person	58	1	0
limited_overs_final	other	58	0	0
record_charts	other	58	0	0
retail_market	other	58	0	0
gaelic_games_county_team	other	58	0	0
island	place	57	1	1
historic_subdivision	other	57	0	0
lacrosse_player	person	56	0	0
swimming_event	other	56	0	0
military_gear	other	56	0	0
religious_group	concepts	56	1	0
disaster	event	56	0	0
boxingmatch	other	56	0	0
philippine_partylist_group	other	56	0	0
theatre_group	other	55	0	0
international_netball_competition	other	55	0	0
architectural_practice	other	55	0	0
site_of_special_scientific_interest	place	55	0	0
rugby_league_football_match	other	54	0	0
racecourse	other	54	0	0
emblem	other	54	1	0
netball_team_season	other	54	0	0
professional_bowler	other	54	0	0
art_movement	concepts	53	0	0
road_junction	place	53	0	0
college_ice_hockey_season	place	53	0	0
fictional_location	other	53	0	0
comics_meta_series	other	53	0	0
manhwa	artifact	53	0	0
college_softball_season	place	52	0	0
poker_player	other	52	1	0
indoor_american_football_team	other	52	0	0
champ_car_driver	other	52	0	0
leadership_election	event	52	0	0
governor	person	52	1	0
human	other	52	0	0
given_name2	other	52	0	0
weather_event/storm	event	52	0	0
ballet	artifact	52	0	0
historian	person	51	0	0
open_cluster	other	51	0	0
subdivision_type	other	51	0	0
college_track_and_field_team	place	51	0	0
painting	artifact	50	0	0
technology_standard	other	50	0	0
named_horse	other	50	0	0
greece_place	other	50	0	0
